Loading the initial atomic configuration from "Ar.data"
Number of steps: 5000
Boundary: periodic periodic periodic
System dimensions: 27.025 27.025 27.025 A
The total number of atoms: 500
Atomic masses: m[type1] = 39.948 Da
Neigbor List algorithm: O(N^2) complexity, Rskin = 2.000000 A, update every 50 steps
Verlet integration algorithm: time step = 0.004000 ps
Handlers:
Assigning the initial velocity corresponding to T = 300.000000 K

Potentials:
type1-type1 : Lennard-Jones potential for Ar-Ar interaction, Rcut = 8.512500 A

Step   Time   Energy   Kinetic   Potential   Temperature   Pressure
0 0.004 -1.194913803 38.7782325 -39.9731463 600 -141769167.8
50 0.204 -1.628083937 19.71323808 -21.34132201 305.0150067 777059053.7
100 0.404 -1.609145193 20.00683342 -21.61597861 309.5576894 765445569.6
150 0.604 -1.615700617 20.1539616 -21.76966221 311.8341445 755725907.4
200 0.804 -1.615857908 19.73202249 -21.34788039 305.3056503 775652987.7
250 1.004 -1.602765588 19.1121481 -20.71491369 295.7145831 796028688.1
300 1.204 -1.595809193 18.83201799 -20.42782718 291.3802426 804132508.3
350 1.404 -1.604594206 19.21520984 -20.81980405 297.309216 794401536
400 1.604 -1.597626547 19.32236577 -20.91999231 298.9671966 794039382.7
450 1.804 -1.591836618 18.60802018 -20.1998568 287.9144145 818518162.7
500 2.004 -1.5989796 19.1547733 -20.7537529 296.3741057 799370960
550 2.204 -1.600338956 19.54923093 -21.14956989 302.4773901 786079342.3
600 2.404 -1.592394017 18.98357643 -20.57597045 293.7252455 810353186.9
650 2.604 -1.600895063 18.94127227 -20.54216733 293.0706902 804274195.4
700 2.804 -1.595948068 18.82844135 -20.42438942 291.3249027 810925143.9
750 3.004 -1.595681244 19.38227307 -20.97795431 299.8941182 794769038.3
800 3.204 -1.588079196 19.31098576 -20.89906496 298.7911184 795975130.1
850 3.404 -1.606879556 19.67518345 -21.28206301 304.4262028 777473756.5
900 3.604 -1.600430582 18.32063872 -19.92106931 283.4678768 827831703.9
950 3.804 -1.60729569 19.1869595 -20.79425519 296.8721099 793306018.7
1000 4.004 -1.60885057 19.23897722 -20.84782779 297.6769592 797481359.6
1050 4.204 -1.597440692 19.3543038 -20.9517445 299.461361 794085829.1
1100 4.404 -1.605695174 17.96127836 -19.56697353 277.9076384 840736701.6
1150 4.604 -1.59869116 19.07049716 -20.66918832 295.0701349 800063268.3
1200 4.804 -1.600618241 18.35736942 -19.95798766 284.0361962 830081659.8
1250 5.004 -1.597332888 18.54055744 -20.13789032 286.8705906 821474035.9
1300 5.204 -1.598364503 19.15113094 -20.74949544 296.3177489 803539614.6
1350 5.404 -1.595785596 18.93928354 -20.53506914 293.0399193 805333892.3
1400 5.604 -1.58911599 18.57106484 -20.16018083 287.3426194 824776019.7
1450 5.804 -1.602190947 18.98878462 -20.59097556 293.8058296 806385170.1
1500 6.004 -1.599687802 18.11789699 -19.71758479 280.3309355 836790235.1
1550 6.204 -1.58744459 19.16921758 -20.75666217 296.5975964 801470557
1600 6.404 -1.603145217 18.41028512 -20.01343034 284.8549395 820400271.1
1650 6.604 -1.598847625 18.73040824 -20.32925587 289.8080759 813338356.2
1700 6.804 -1.604497896 19.2921554 -20.8966533 298.4997638 798122442.9
1750 7.004 -1.597403239 18.80337759 -20.40078083 290.9371012 814570679
1800 7.204 -1.594400288 18.01790361 -19.6123039 278.7837781 837427370.9
1850 7.404 -1.5993897 19.54683889 -21.1462286 302.4403791 784682043.8
1900 7.604 -1.60396051 19.06213972 -20.66610023 294.9408236 797439615.6
1950 7.804 -1.606199597 19.47318116 -21.07938076 301.3007026 790058354.8
2000 8.004 -1.600362631 19.75094097 -21.3513036 305.5983685 781895580.5
2050 8.204 -1.607033629 20.0033522 -21.61038583 309.5038258 772589771.2
2100 8.404 -1.600407299 19.18605585 -20.78646315 296.8581281 799701054.6
2150 8.604 -1.597799109 18.84455409 -20.4423532 291.5742087 807638359
2200 8.804 -1.614649543 18.47084782 -20.08549736 285.7920018 821575179.5
2250 9.004 -1.594736043 19.24094358 -20.83567963 297.7073839 796604365.1
2300 9.204 -1.595890303 19.13687643 -20.73276673 296.0971947 798779537.2
2350 9.404 -1.61107722 18.90649724 -20.51757446 292.5326301 803391999.1
2400 9.604 -1.599452801 18.69292499 -20.29237779 289.2281125 811035986.3
2450 9.804 -1.605035865 18.73380636 -20.33884222 289.8606535 811885527.1
2500 10.004 -1.604910067 18.11285679 -19.71776686 280.2529505 833853512.3
2550 10.204 -1.604486971 19.21179704 -20.81628401 297.2564111 796576074.7
