Loading the initial atomic configuration from "equilT138.data"
Number of steps: 100000
Boundary: periodic periodic periodic
System dimensions: 40.8045 40.8045 40.8045 A
The total number of atoms: 1372
Atomic masses: m[type1] = 39.948 Da
Neigbor List algorithm: O(N^2) complexity, Rskin = 2.000000 A, update every 50 steps
Verlet integration algorithm: time step = 0.001000 ps
Handlers:
Berendsen thermostat: T = 138.000000 K, tau = 2.000000 ps

Potentials:
type1-type1 : Lennard-Jones potential for Ar-Ar interaction, Rcut = 8.512500 A

Step   Time   Energy   Kinetic   Potential   Temperature   Pressure
0 1.00101 -44.44715797 25.53647318 -69.98363115 143.9925591 103216039.5
1000 2.00101 -44.7755233 25.13272445 -69.90824775 141.7159404 101877678.8
2000 3.00101 -45.004041 24.72279512 -69.72683612 139.4044711 105135204.8
3000 4.00101 -45.26079213 24.4387196 -69.69951173 137.8026539 103304996.1
4000 5.00101 -45.44372881 25.0030811 -70.44680991 140.9849202 94564934.21
5000 6.00101 -45.521147 24.89229119 -70.41343818 140.3602089 95454211.51
6000 7.00101 -45.63094618 25.35607625 -70.98702244 142.9753546 90842381.05
7000 8.00101 -45.59082512 24.2671964 -69.85802152 136.8354857 103287083.5
8000 9.00101 -45.67051488 24.48545778 -70.15597267 138.0661966 99940704.21
9000 10.00101 -45.63217969 24.68366406 -70.31584375 139.1838227 95997300.68
10000 11.00101 -45.57932509 24.75093983 -70.33026492 139.5631707 97212923.39
11000 12.00101 -45.64216091 24.0696864 -69.71184731 135.7217857 103263021.6
12000 13.00101 -45.63735452 24.19611804 -69.83347256 136.434696 103104595.9
13000 14.00101 -45.685659 24.70500075 -70.39065975 139.304134 95160463.87
14000 15.00101 -45.56101631 23.95252421 -69.51354053 135.0611431 108793360.8
15000 16.00101 -45.57892496 24.91441056 -70.49333552 140.4849334 98291611.39
16000 17.00101 -45.62218662 24.42227004 -70.04445666 137.7098997 101972798.2
17000 18.00101 -45.63469454 25.02519784 -70.65989238 141.1096299 93626096.87
18000 19.00101 -45.65496461 24.01599466 -69.67095926 135.419034 103378765.3
19000 20.00101 -45.74524376 24.19451092 -69.93975468 136.425634 104394315.3
20000 21.00101 -45.75946665 24.93821429 -70.69768094 140.6191556 92785233.93
21000 22.00101 -45.79819786 24.69299067 -70.49118852 139.2364127 96693347.44
22000 23.00101 -45.79249719 24.20581854 -69.99831573 136.4893943 103731018.6
23000 24.00101 -45.74884134 24.14822783 -69.89706917 136.1646574 102760533.3
24000 25.00101 -45.67233928 24.39760385 -70.06994313 137.5708145 98846092.09
25000 26.00101 -45.67396169 24.17199493 -69.84595661 136.298673 102437984.7
26000 27.00101 -45.67089621 24.50148771 -70.17238392 138.1565846 96456703.91
27000 28.00101 -45.6335902 24.13980481 -69.77339501 136.1171626 101934083.2
28000 29.00101 -45.67488306 25.03831444 -70.7131975 141.1835904 91422581.36
29000 30.00101 -45.65186714 24.46319382 -70.11506095 137.9406567 99531899.25
30000 31.00101 -45.65234809 24.57370056 -70.22604865 138.5637713 99391714.52
31000 32.00101 -45.69325515 23.6673599 -69.36061505 133.4531865 107997887.3
32000 33.00101 -45.7622694 24.43465588 -70.19692528 137.7797398 93797504.45
33000 34.00101 -45.7218278 23.89348986 -69.61531766 134.728266 103136547.1
34000 35.00101 -45.70351717 24.83548472 -70.53900189 140.0398941 93424685.15
35000 36.00101 -45.69147857 24.42500086 -70.11647943 137.725298 100975738.9
36000 37.00101 -45.63370747 24.62745448 -70.26116195 138.8668736 99715183.35
37000 38.00101 -45.60847935 24.20289434 -69.81137369 136.4729056 102877393
38000 39.00101 -45.61271061 23.46756608 -69.08027669 132.3266088 110576779.5
