Loading the initial atomic configuration from "equilpart2.data"
Number of steps: 200000
Boundary: periodic periodic free
System dimensions: 23.3347 23.3347 115.6 A
The total number of atoms: 1280
Rigid: khist = 3
Atomic masses: m[type1] = 39.948 Da
Neigbor List algorithm: O(N^2) complexity, Rskin = 2.000000 A, update every 50 steps
Verlet integration algorithm: time step = 0.004000 ps
Handlers:
Berendsen thermostat: T = 138.000000 K, tau = 2.000000 ps

Potentials:
type1-type1 : Lennard-Jones potential for Ar-Ar interaction, Rcut = 8.512500 A

Step   Time   Energy   Kinetic   Potential   Temperature   Pressure
0 1.00401 -39.55242849 24.07500722 -63.62743572 161.6766089 115115151
1000 5.00401 -43.65276933 21.17640089 -64.82917022 142.21091 94233575.05
2000 9.00401 -44.88838237 20.78230521 -65.67068759 139.5643458 78828023.58
3000 13.00401 -45.43085022 20.63074023 -66.06159045 138.5465055 76722711.09
4000 17.00401 -45.30976686 20.34765801 -65.65742487 136.6454563 81772834.41
5000 21.00401 -45.3800727 20.33287678 -65.71294948 136.5461924 76854948.82
6000 25.00401 -45.36564985 20.57924344 -65.94489329 138.2006769 78663761.32
7000 29.00401 -45.46199482 20.81984216 -66.28183698 139.8164265 67521758.91
8000 33.00401 -45.37799047 20.69543588 -66.07342635 138.9809715 73186374.62
9000 37.00401 -45.36514507 20.68154909 -66.04669416 138.8877143 76068436.06
10000 41.00401 -45.44220126 21.15432892 -66.59653018 142.0626849 65768638.47
11000 45.00401 -45.39462711 20.73584378 -66.13047089 139.2523323 73756637.25
12000 49.00401 -45.51641268 20.3071737 -65.82358638 136.3735824 79336866.63
13000 53.00401 -45.41327355 20.78215773 -66.19543129 139.5633554 73185021.95
14000 57.00401 -45.45825085 21.32714986 -66.78540072 143.2232703 65425983.67
15000 61.00401 -45.41403251 20.10865246 -65.52268497 135.0404056 80405411.98
16000 65.00401 -45.38390936 20.57222831 -65.95613767 138.1535665 79381268.62
17000 69.00401 -45.36667066 20.68673286 -66.05340352 138.9225261 74694778.22
18000 73.00401 -45.49708455 20.07816408 -65.57524863 134.8356598 79388061.03
19000 77.00401 -45.49890015 20.68916511 -66.18806526 138.93886 73238542.2
20000 81.00401 -45.49339239 20.21133334 -65.70472573 135.7299628 77091080.64
21000 85.00401 -45.49861654 20.38508487 -65.88370141 136.8967978 79595066.77
22000 89.00401 -45.51040162 20.29372502 -65.80412664 136.2832673 79065241.64
23000 93.00401 -45.58528862 20.69211142 -66.27740004 138.958646 72336348.31
24000 97.00401 -45.67726748 20.25275246 -65.93001995 136.0081145 74010472.72
25000 101.00401 -45.60631262 20.25359521 -65.85990784 136.0137741 74672380.41
26000 105.00401 -45.54705368 20.54406465 -66.09111833 137.9644324 73664828.11
27000 109.00401 -45.50318249 20.32025768 -65.82344017 136.4614483 77038108.92
28000 113.00401 -45.30221078 20.12433539 -65.42654616 135.1457249 82159521.33
29000 117.00401 -45.35238121 20.41697087 -65.76935208 137.1109294 81759641.17
30000 121.00401 -45.40084736 20.3792497 -65.78009706 136.8576114 77777117.55
31000 125.00401 -45.44234791 21.25096102 -66.69330894 142.7116214 65431160.12
32000 129.00401 -45.46187547 20.37707973 -65.8389552 136.843039 78061991.2
33000 133.00401 -45.35288818 20.42725385 -65.78014203 137.1799851 79517889.63
34000 137.00401 -45.5705803 20.80341549 -66.3739958 139.7061127 67889932.43
35000 141.00401 -45.36993512 20.72592315 -66.09585827 139.1857099 74133407.29
36000 145.00401 -45.43213894 20.05971263 -65.49185157 134.7117483 80735261.63
37000 149.00401 -45.53834141 20.60770136 -66.14604277 138.3917871 72472118.58
38000 153.00401 -45.62841171 20.2465034 -65.87491512 135.9661487 78008727.13
39000 157.00401 -45.57232948 20.53560195 -66.10793142 137.9076008 71974727.89
40000 161.00401 -45.49385777 20.13093285 -65.62479062 135.1900304 77400423.41
41000 165.00401 -45.31490972 20.12944767 -65.44435739 135.1800566 84637521.28
42000 169.00401 -45.34900003 20.67432943 -66.02332946 138.8392304 71754098.83
43000 173.00401 -45.36031654 21.1329437 -66.49326024 141.9190716 68625596.21
44000 177.00401 -45.4674862 20.17364282 -65.64112902 135.4768508 80712474.92
45000 181.00401 -45.47095124 20.84237026 -66.3133215 139.9677149 71146069.83
46000 185.00401 -45.45898015 20.45644594 -65.91542609 137.3760257 74585805.18
47000 189.00401 -45.41567012 20.28523955 -65.70090967 136.2262828 79837784.74
48000 193.00401 -45.38439281 20.14027168 -65.52466449 135.2527457 82024849.09
49000 197.00401 -45.40897028 20.34634821 -65.75531849 136.6366602 77913462.98
50000 201.00401 -45.39369849 20.25219711 -65.64589559 136.004385 80789356.4
51000 205.00401 -45.40504522 20.37589596 -65.78094118 136.8350893 77826205.82
52000 209.00401 -45.32594995 20.17659913 -65.50254908 135.496704 83692817.25
53000 213.00401 -45.329152 20.6462363 -65.97538829 138.6505699 78023785.04
54000 217.00401 -45.40222349 20.49105537 -65.89327886 137.6084466 78069634.85
55000 221.00401 -45.39317288 20.35300821 -65.74618109 136.6813857 78477949.33
56000 225.00401 -45.42960853 20.90545592 -66.33506445 140.3913689 73775730.57
57000 229.00401 -45.36719262 20.22886066 -65.59605328 135.8476682 77885160.76
58000 233.00401 -45.3459919 21.13175723 -66.47774913 141.9111038 70549615.75
59000 237.00401 -45.34754763 20.59733392 -65.94488155 138.3221642 78408843.47
60000 241.00401 -45.34720682 20.59676968 -65.9439765 138.318375 75936980.59
61000 245.00401 -45.40202317 20.23368268 -65.63570585 135.8800507 80266536.52
62000 249.00401 -45.16105691 20.7410374 -65.90209432 139.2872103 77880460.12
63000 253.00401 -45.25778661 20.51404479 -65.7718314 137.7628329 79136826.04
64000 257.00401 -45.40655654 20.5457769 -65.95233344 137.975931 73979991.02
65000 261.00401 -45.45147703 20.77737422 -66.22885125 139.5312315 72291964.7
66000 265.00401 -45.36425221 20.34930468 -65.71355689 136.6565145 80138809.37
67000 269.00401 -45.3781404 20.17332354 -65.55146393 135.4747066 82618431.2
68000 273.00401 -45.39315237 20.4037146 -65.79686696 137.0219064 79248632.55
69000 277.00401 -45.39288086 20.46174302 -65.85462389 137.4115984 79346972.59
70000 281.00401 -45.46357432 20.3373985 -65.80097283 136.5765582 73594847.42
71000 285.00401 -45.53672384 20.21133065 -65.74805449 135.7299448 78252630.98
72000 289.00401 -45.46164322 20.5025073 -65.96415052 137.6853525 74273205.08
73000 293.00401 -45.46575022 20.52352092 -65.98927114 137.8264702 74344776.53
74000 297.00401 -45.37525592 20.60247109 -65.97772701 138.356663 73593884.25
75000 301.00401 -45.49499182 20.43161403 -65.92660585 137.2092661 77608838.45
76000 305.00401 -45.71242159 20.37790875 -66.09033035 136.8486063 73706253.81
77000 309.00401 -45.57175486 20.97816285 -66.54991771 140.8796351 70251488.38
78000 313.00401 -45.69538589 20.54659463 -66.24198052 137.9814226 71463004.08
79000 317.00401 -45.6096351 20.24295084 -65.85258594 135.9422914 76618334.12
80000 321.00401 -45.54496854 20.56547988 -66.11044842 138.1082471 73109513.45
81000 325.00401 -45.51972601 19.93635103 -65.45607704 133.8833089 79467700.59
